sn,bd1,bd2
724,1.22299,
725,1.09354,
726,0.837774,
727,1.04051,
728,0.753905,
729,1.04106,
730,0.407153,
731,1.19843,
732,1.17686,
733,0.871642,
734,1.43595,
735,0.970328,
736,1.13197,
737,0.918248,
738,0.361861,
739,1.40135,
740,0.343723,
741,1.13704,
742,0.920474,
743,0.942591,
744,0.86927,
745,0.980547,
746,0.404124,
747,1.11964,
748,1.01073,
749,1.08555,
750,1.02894,
751,0.949599,
752,0.870876,
753,1.01726,
754,1.0188,
755,0.985438,
756,1.01182,
757,0.991241,
758,1.08026,
759,1.00102,
760,0.917007,
761,0.980912,
762,1.21518,
763,0.931971,
764,0.984197,
765,0.890766,
766,0.329453,
767,0.961679,
768,1.13281,
769,0.993869,
770,16.6994,
771,4.9988,
